주소,강원도 인제군,강원도 횡성군,경기도 광주시,경기도 김포시,경기도 남양주시,경기도 수원시,경기도 안성시,경기도 양주시,경기도 여주시,경기도 연천군,경기도 용인시,경기도 이천시,경기도 파주시,경기도 평택시,경기도 포천시,경기도 화성시,경상남도 거창군,경상남도 고성군,경상남도 밀양시,경상남도 양산시,경상남도 진주시,경상남도 하동군,경상북도 문경시,경상북도 성주군,경상북도 포항시,부산광역시 강서구,세종특별자치시 세종특별자치시,전라남도 강진군,전라남도 고흥군,전라남도 구례군,전라남도 나주시,전라남도 무안군,전라남도 보성군,전라남도 신안군,전라남도 여수시,전라남도 영암군,전라남도 장흥군,전라남도 함평군,전라남도 해남군,전라남도 화순군,전라북도 고창군,전라북도 군산시,전라북도 김제시,전라북도 부안군,전라북도 임실군,전라북도 정읍시,충청남도 당진시,충청남도 부여군,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 천안시,충청남도 홍성군,충청북도 음성군,충청북도 진천군,강원도 원주시,경기도 동두천시,경상남도 통영시,경상북도 영주시,울산광역시 남구,인천광역시 옹진군,전라남도 담양군,전라남도 순천시,전라남도 영광군,전라북도 익산시,제주특별자치도 제주시,충청남도 논산시,충청남도 청양군,충청북도 괴산군,충청북도 충주시,경기도 고양시,경기도 과천시,경상북도 경주시,경상북도 영천시,전라남도 곡성군,전라북도 순창군,전라북도 전주시,전라북도 진안군,충청남도 공주시,충청북도 증평군,충청북도 청주시,경기도 의정부시,울산광역시 울주군,강원도 춘천시,경상북도 경산시,대구광역시 수성구,부산광역시 기장군,부산광역시 해운대구,서울특별시 광진구,서울특별시 송파구,대구광역시 달성군,대구광역시 동구,전라북도 완주군,광주광역시 광산구,광주광역시 북구,강원도 철원군,충청북도 청원군,경기도 성남시,경기도 양평군,경상북도 구미시,경상북도 상주시,인천광역시 서구,전라남도 장성군,전라남도 진도군,전라북도 남원시,충청남도 예산군,충청북도 옥천군
서울특별시 종로구,136.6785509,150.9752249,164.1214409,290.6602675,82.94060195,272.2259612,276.3882751,198.3539957,57.33430217,130.8580584,169.3318013,168.4798203,169.9812116,130.4768951,302.5242853,255.6201565,255.9229664,290.6327182,273.3488921,291.6035602,214.6768761,197.12318,224.1424731,111.9525954,44.23605657,318.8504075,111.3136253,33.18878051,225.6598856,54.51785913,50.86552814,150.2403972,33.25857075,219.0359454,69.53691606,89.29773778,112.9777555,177.235428,129.8840727,93.42541025,82.70712603,215.2673357,203.083404,192.5576377,91.22988951,184.6664297,191.0395071,146.9825279,145.8160053,93.74368229,182.9133475,92.20959052,197.120798,224.032097,103.579844,121.9672442,140.1493057,111.7950566,60.2527825,40.58806562,131.0222522,177.1527065,102.1135037,117.9788199,261.9442705,77.35599159,237.3809797,24.97998856,265.2505512,113.4730422,40.75753972,152.2707227,99.06426129,296.3734147,214.8924917,158.2398477,210.2821028,97.76607292,96.93123204,183.9735502,257.2697189,80.21868338,189.8901524,53.03168295,186.6566219,114.0536485,281.977099,289.3656152,150.0770855,122.8998431,254.7878217,195.6481114,246.143362,221.6507923,42.89585149,39.57463624,163.8336051,453.1450772,177.5534265,226.0295231,231.8180016,241.9360195,192.7809781,69.29782213,27.34392053,169.162319,291.0248615
서울특별시 중구,112.0088087,35.77316482,160.3866385,288.3276799,82.58397387,240.1860351,96.62376485,303.5591723,66.57797313,125.9824401,199.2251976,176.8449524,269.1963582,78.53261644,256.8087328,311.7871232,316.7473189,212.101517,270.2871493,32.28470513,232.0201813,107.0823095,146.8160584,87.77275159,86.23695117,278.7548995,151.2479623,215.5770372,259.4747925,28.28415229,33.31198985,53.11625151,54.99908583,233.9852307,216.1897378,99.23319163,22.89386954,169.9237593,32.63769645,90.14247329,93.26277041,202.9035652,185.9051859,189.5657107,58.926731,203.5130077,110.289244,132.9854113,211.1277201,159.5042207,126.772453,229.4569148,358.0574577,88.13734808,91.07886884,76.68345982,159.3351608,147.2951781,96.04339963,116.8878969,128.3194193,99.27671733,68.68814339,112.153926,86.64836905,89.21564862,106.0298466,57.30711106,285.8559257,108.5088627,87.28706518,98.27408751,61.45000682,253.8104198,265.9583228,157.1182129,189.9097183,45.1760292,153.997269,165.0381576,234.2828921,103.3768407,209.4708438,110.6358493,241.9828602,129.2202132,276.751444,171.8576324,253.4795321,84.6963018,197.8802875,163.8520013,165.4474333,115.3926054,123.0032104,27.18065865,181.9714104,435.6804689,138.0475527,42.28161202,212.8759559,257.648068,171.482982,53.85425335,87.46069156,157.455544,282.7934102
서울특별시 용산구,32.19294373,152.8189285,49.81226554,5.327497367,10.13846669,162.6241987,77.5799873,249.4458889,102.149356,46.8541855,163.7507323,181.794479,261.3972179,41.90704806,235.5789092,267.6762373,189.3289834,274.4392621,82.2823506,243.6578563,234.0639264,104.5755563,191.28374,132.3580267,59.24582231,263.4571704,113.6682231,272.986561,185.3099151,50.75411751,66.05895304,111.3061664,187.3286669,122.946437,204.7005594,47.3980031,7.38329352,110.4433231,269.52391,34.132471,98.34197522,208.1386649,143.3486726,113.5063698,109.9763278,141.2500129,113.554768,217.7196254,202.0449855,160.99455,139.7807828,200.853075,174.7368255,193.8999954,143.1044611,115.2017273,170.0647465,163.6852169,194.5253353,183.7209489,87.26141126,62.43977042,146.2220879,95.23808794,85.73540932,267.597664,93.22802377,97.65452933,42.07182613,97.34427872,37.47757788,113.2990527,116.6273381,95.62651513,296.2545693,204.3189869,173.4233219,92.24528089,154.8956565,188.9636161,218.3491464,122.7871257,181.34187,0,242.2654978,90.76775578,260.6802868,256.0327202,211.3859604,102.4700626,222.2742198,208.0230575,143.0529078,134.119554,168.1340617,105.2122647,128.1823015,220.2519406,208.7162614,139.0096896,202.4574254,195.3582861,210.5996328,131.9602967,57.15551669,0,312.0838122
서울특별시 성동구,29.41337197,219.8340051,80.19287827,8.392367457,273.591784,154.1759457,109.1726894,150.3419644,80.16731995,78.87315236,140.883624,191.6545891,72.46929025,16.66299334,312.9919255,269.8167819,270.1352524,245.976133,67.78994389,62.95592926,203.4097383,226.290378,145.4731795,47.59856866,97.00036874,282.724492,127.7459046,218.3166499,168.6545067,21.29283882,36.35495692,138.5063002,158.6929847,167.873639,283.2260787,61.19533493,274.7109736,280.0108801,215.0714765,22.55093906,117.5699218,190.3626599,184.7190273,156.3720618,150.9472969,201.5942,193.292665,281.6914967,70.8719083,155.2745014,182.5407815,196.67912,187.1290653,439.1831907,26.41165282,123.4577824,116.0731475,145.7439618,186.4950354,202.4574254,110.9634097,102.3547304,61.17728864,64.09846321,172.5716604,140.7620263,66.40505575,117.1763199,89.2820197,143.4546123,98.4945467,102.7745446,71.32700489,53.27599853,192.3525986,143.7373356,147.3693452,92.77571071,116.3295912,76.6008942,207.7224636,137.6484124,171.6741312,66.69604334,190.1974583,148.7355123,277.2025537,240.020983,169.5221321,12.45174221,232.0835326,134.5923842,137.7842296,308.8830976,154.8041532,102.6640674,139.3219533,243.864566,131.3557712,145.6808258,243.6340253,243.0769701,206.4383306,157.2254118,168.7128526,67.13036713,259.6386424
서울특별시 광진구,26.73862632,150.8071983,13.84916255,197.3416772,81.74745174,124.2233894,118.3204752,187.4718403,119.8739231,66.64216446,105.4320978,196.5705069,195.5897016,102.0800593,253.4973429,237.0504689,186.5647506,112.8394634,219.3623623,73.15398999,248.035358,203.3987561,105.6638675,258.2718387,57.91597091,270.9009011,123.3705915,189.6557007,136.7189273,42.44095133,97.82959873,102.7416234,48.9699883,165.9800152,281.0973417,57.11052582,242.1280597,91.7206993,321.6581713,74.0039017,108.6917325,219.7075475,201.0450014,239.2702446,209.789115,192.0723556,254.2897436,360.7956321,84.83788615,152.4408305,135.6147835,195.1814989,95.8476181,260.9767922,55.30639633,92.28051173,130.1216189,180.9463136,54.41695455,236.7166668,96.60294422,71.76339169,43.25727382,101.9203511,193.7159712,219.9008411,87.64464018,127.6567581,66.69604334,171.2767547,53.58960708,87.82197725,85.6257155,85.11348211,152.0857156,201.1341324,205.1489951,213.3428679,113.0602887,40.23347637,260.3299859,184.1886962,310.6796508,117.6526931,268.1997389,156.6842797,215.8640905,266.3556035,245.0164065,36.52959232,92.98454265,216.0800787,213.0774991,296.8974106,195.8172538,180.4045581,197.4744711,430.4421299,168.9707115,424.4850268,153.4757145,286.2613196,158.5195456,90.47672223,123.9166817,93.93213184,271.6050937
서울특별시 동대문구,21.46565387,61.14700262,50.34145194,211.5158149,226.44401,133.0810341,11.40480275,158.1874589,33.25178125,94.42720954,114.3024052,182.8593491,196.1770602,141.5660534,283.1293849,288.7081541,219.0229201,141.3771411,255.6759922,13.99650512,211.2229589,76.96979319,262.7498708,214.9009749,63.86705137,328.7246654,127.3551837,274.1913785,166.7012303,169.508751,52.4585849,33.37510093,176.4628588,62.74799804,6.452108682,39.70828256,145.053232,85.62246739,234.9339759,45.89620535,29.1656373,182.2493454,181.3940863,243.4027941,198.8427726,163.5665979,199.3780969,233.0628492,86.80283078,97.48965845,109.0537769,166.313414,78.75870378,248.3805696,23.99634352,143.6096155,117.2120194,144.1868955,185.5772998,156.5804026,70.86666057,93.42541025,53.16368915,195.9070777,37.47757788,207.3810824,33.96301719,109.0507126,0,122.1301423,61.94320953,104.8104304,75.81248548,86.00612338,232.5983726,167.7266508,160.3462519,168.6794672,179.7449453,32.78624848,253.0731217,170.2734248,281.2419993,89.05592599,298.5272812,121.8888982,264.1253662,272.8937046,268.0780865,134.4531241,75.18834148,179.5490729,274.2789234,369.0778188,106.1233932,177.3434439,101.5063562,444.2477842,117.3647857,121.5634151,172.7615802,245.1617189,189.8328477,171.379101,97.11130933,127.74044,284.134104
서울특별시 중랑구,50.58679027,106.0353831,175.3969221,112.8180743,214.7912701,82.32885279,13.31860905,108.2710195,254.0081554,46.13517695,120.9102686,187.8821579,160.7052644,139.0624886,287.4164263,217.4410705,194.147555,320.9166992,242.4609669,5.74442081,215.5288797,46.20936071,97.50900296,316.9858651,62.79269313,288.1873645,146.2770983,299.6419842,271.1929558,236.2804249,49.00231787,60.66472161,243.5171453,100.2862049,5.967346371,253.7740192,134.9723924,80.27261976,164.3970688,20.1510549,62.24389208,161.356081,218.2319792,94.49770301,228.0774804,233.0687737,217.7165385,219.8266667,46.73513615,91.93069035,108.5149184,160.0254598,151.4042622,301.418142,114.3525634,118.6151917,103.4617354,160.3767951,163.9393163,137.7522897,123.0510196,93.87986522,159.4071976,171.344133,76.86466106,281.6691532,81.78719977,230.9224844,169.6501356,166.9121282,61.34189833,48.99965448,93.46518624,27.91798384,223.0944034,68.61561717,223.9564695,144.660699,75.6607193,228.3587539,192.1387571,216.3142111,92.17220176,84.84407547,331.039141,205.078636,295.3257551,219.3059823,220.7486691,123.4839268,22.3646572,153.8349429,221.0935377,230.1628314,170.9588663,15.62721221,130.5398651,433.6644623,125.6454966,64.24239323,156.5771481,304.0959763,191.5348637,26.1464738,133.5910657,41.08892554,241.5504566
서울특별시 성북구,16.00577792,136.1493451,147.2520511,164.9073934,293.329073,84.11131521,281.9663963,273.4345185,203.7178312,49.34426197,132.9333419,170.8562026,172.5312081,100.2406731,135.2362773,299.860973,246.3338972,264.667464,281.0278486,279.1521681,297.4996518,142.9621079,68.09404455,231.5566717,113.2988985,230.2594959,96.39573935,237.1512054,258.4924956,244.0019012,75.99474636,44.75758019,171.2767547,36.43173993,190.5552962,87.79043297,105.6754007,87.37081169,204.3189869,74.71730638,50.53073528,126.1069715,172.4004106,229.4490046,189.2736568,202.8395098,189.9933735,172.8111289,119.5405663,168.7703279,105.770034,129.8491823,138.489041,234.7828942,157.3023934,83.34289385,120.5532526,157.4143351,120.5283447,120.3022655,62.51547661,136.3673278,116.3266008,43.66591522,73.56464811,277.1399773,71.2579111,199.3464995,22.39956941,215.8637243,72.59939006,94.2000348,103.7039441,38.36848559,338.2992784,92.85815656,165.8391867,168.7778876,141.6374152,133.4641556,190.8804793,292.2070661,77.26660263,175.3672428,72.21795974,180.9463136,259.0184502,238.2407138,285.7399936,96.84838136,47.47128037,233.6994113,235.2919318,280.4418321,148.1912901,27.07695362,74.32083013,404.8658025,219.5810023,173.5771714,249.0245936,265.7099016,173.4492376,133.00134,85.18327349,45.75703101,302.4623106
서울특별시 강북구,75.48584635,110.6174532,40.14842277,161.157305,290.9776661,84.78084971,249.6687633,94.84080998,308.2494356,62.64393256,130.0149159,199.7912907,181.8646098,73.78550984,83.30503439,255.164475,301.9186225,325.7421171,202.4593758,276.0945797,26.36068881,158.2406945,131.9827491,144.6551648,90.07128929,271.8706465,95.60488234,315.57716,60.06877739,276.9698084,17.14544303,20.44335176,84.94885052,73.75612304,204.0318856,205.9499219,118.7097071,43.31805624,167.4450591,64.91905927,76.08302244,133.7637764,197.7202116,218.8910026,191.5228222,186.5724205,219.8656239,118.6976228,93.09034564,231.6349194,161.8215598,90.79628275,193.4455285,387.4006583,78.65531431,71.89954702,66.68000236,157.3592952,169.1194579,143.5551376,150.618504,111.5753944,77.73291664,106.6770255,133.3068886,78.57156225,73.4781482,39.809351,38.23286902,344.9589835,91.36856937,127.4770963,50.1191972,61.08277926,289.0894336,145.0755218,160.7117224,158.6678583,16.53858663,177.7210268,185.0295358,255.2749339,92.61420365,194.9405756,92.05607752,242.4174956,314.9332849,225.3239876,176.5165659,195.6110054,83.36421486,181.5106009,205.1360126,199.6211263,28.58983587,137.9697309,72.80933103,427.2673273,196.7995487,138.6610182,56.95764168,247.2150579,188.6602563,110.0991172,47.90138555,68.94499837,247.9978197
서울특별시 도봉구,36.62391225,30.21910659,153.6000229,49.03996943,8.057606962,4.876276066,160.8401128,74.65297921,243.7500079,95.00460659,52.77190327,161.9915998,183.9735502,9.359205393,45.89619784,233.3394586,258.6076451,197.9411657,264.7230906,87.56337953,246.5709126,153.9645768,143.6875528,187.3934684,132.1344546,211.8806313,73.77968703,175.3604103,177.4030422,210.531412,51.50676093,18.61127827,121.7261739,197.9077913,113.4989222,193.8818752,64.59410578,26.3142748,122.4773813,195.0311311,33.31606439,141.4132419,193.99706,177.966979,102.0705725,230.4340116,150.25098,131.2458471,135.2280042,219.8845072,164.6553848,102.2451503,168.5334466,212.5530874,185.651074,119.0683336,110.8999113,178.8254753,187.5012367,253.8574224,211.1863006,86.37864373,107.4860062,164.3453595,68.72335028,78.21528832,266.4016493,30.21171749,109.1789273,45.1760292,70.89936472,85.45309588,66.39610569,55.75354978,149.3841875,174.3600726,215.3167135,136.2707997,120.5930652,188.7447525,208.978714,252.903098,117.7639277,162.0798118,69.56789802,218.7162123,282.065652,212.0958718,253.9182314,156.3326758,121.814929,197.0203239,242.2675405,178.8304142,48.4981086,187.9961179,127.5383244,372.8841367,132.7933684,198.3083178,91.49848362,236.7166668,126.4575048,153.7747241,132.0400358,44.4797163,212.4199672
서울특별시 노원구,31.36789917,31.06540881,221.5598321,80.59012663,11.11423224,273.4597833,151.0170359,110.6442339,149.7220429,72.37999582,82.67933737,141.4740285,197.0146735,215.0235886,17.41247876,311.2777807,259.9383103,277.6257516,236.2906687,74.1292705,67.16839344,123.221573,22.89507675,145.9971644,43.41874402,255.5140566,64.82464099,278.2606737,180.400112,197.1838692,54.93459674,53.68519627,157.3121139,170.0179215,168.3170839,272.0301894,81.66890664,251.6877031,284.134104,150.1021643,40.58806562,148.0917154,194.7166879,208.7124621,147.7302858,178.5707429,221.8167005,212.3842803,202.8569491,143.634532,175.84431,78.98279673,213.3428679,229.9868078,367.5286321,30.97200284,135.3118415,130.364224,161.3910697,234.8229926,243.8753382,114.2411115,91.66578725,128.7667916,80.29917163,187.0033853,126.9967377,0,128.6836606,33.27933553,128.7836505,144.3394169,65.71525812,116.013252,43.18328189,70.72943289,153.005102,116.2733135,75.72499123,167.8348983,86.69010534,242.1103228,120.1252673,152.6272398,111.5005309,231.4738408,255.2746263,229.1900637,239.4929672,113.0602887,81.09162351,215.3074024,169.757675,152.0931103,215.1155753,174.7851179,130.0846169,384.4926671,107.4754473,134.0381498,64.94100901,278.0032275,173.5773556,144.9124544,157.3586152,161.0757591,222.6655256
서울특별시 은평구,54.61100112,26.06226642,149.6364002,14.1677509,199.9509135,77.28986308,121.6021508,120.311059,188.5261582,114.1984815,72.75674404,106.3970293,195.9509468,252.899102,106.9457525,252.4023703,227.1936718,193.8347056,103.1201349,223.1171218,78.54178288,162.7243273,35.93506986,103.0711371,261.9809511,270.1783451,81.16078848,257.2697189,146.8576486,150.129107,21.51453138,61.86112108,128.8582692,18.89789584,163.8232103,269.0578235,78.29988706,219.689733,110.9220584,249.3093649,44.08597546,149.5755677,216.1933084,221.7921347,220.9157603,202.3577304,201.1370701,272.6015546,280.9761548,114.5599269,173.1381319,235.9242233,216.1106355,126.7930228,153.6952391,41.04085405,97.38483316,125.3168327,205.078636,29.7850002,278.0490596,74.33237695,70.75254708,26.42009113,103.9727568,207.5427452,218.4140973,30.84692558,115.0135744,98.11378921,134.5722095,107.8559733,47.09208184,42.24362009,100.1621527,30.3972628,207.2072021,170.3751172,255.0592588,163.6461269,33.04005588,295.257555,171.474878,304.2217619,59.32383009,285.7399936,243.7851,172.8928235,262.3155574,186.6107711,51.38377498,98.87486092,246.8345494,204.7315261,166.8353906,190.2322412,188.6939202,430.8920211,90.97408477,171.3703167,481.5668652,186.273067,224.3119861,101.9190845,98.39300664,123.5320212,281.4150476
서울특별시 서대문구,25.39977424,18.48773623,62.4762942,50.11717152,214.1917986,226.5653153,133.5955689,9.920782428,155.6167577,35.06330128,99.31509652,113.5735471,186.8484753,196.2738264,146.4066423,280.4741605,279.52184,224.1855471,131.6649571,257.9173805,0,124.4065978,304.9385668,262.8333066,215.5546678,281.6823608,50.74045258,295.1178136,154.0610676,185.8893741,176.5673355,74.17206111,47.72674863,157.0777726,42.40358938,26.06368906,27.46832328,152.1727738,86.6623275,296.6765782,97.09776153,74.45625011,167.0338971,211.6094097,230.7295031,157.3404936,172.5837431,217.0555426,164.4837619,149.345102,114.1762443,15.4974223,190.2329582,107.3236705,147.0819428,61.88177426,153.7782226,97.87951131,148.1804587,150.2382419,183.5331287,74.93357962,49.50742808,110.0929668,159.8583457,54.56116767,205.9367417,41.90944561,99.09625741,59.92977574,158.4136326,90.25852967,62.29941806,55.16069643,121.8547261,136.0058705,179.9141669,141.6733485,210.5007907,190.4643304,32.89708753,287.9648085,157.3485493,273.9395328,131.0343655,334.7342148,289.6102136,219.1579313,271.318842,209.6621625,68.28678505,104.2107565,218.749277,261.3109518,237.4587926,110.5428149,185.7718988,237.1105087,108.6995412,127.6030173,195.921746,206.5544803,179.8336348,138.3758927,173.6756224,87.4907588,305.410558
서울특별시 마포구,41.67886811,47.67750435,103.4705662,175.5711857,114.1097612,215.0481128,80.25204161,13.21920338,107.6835041,245.9317486,48.82491618,121.5706925,190.8804793,173.7907221,142.7262807,286.435343,208.822019,198.4763768,311.2436562,244.7617753,8.687005561,128.7073745,272.2730357,93.5448975,318.9520913,238.0748246,76.93994327,292.2070661,163.0212876,282.6483714,243.5841784,18.1908402,23.35305314,219.2953444,75.99730922,24.6608673,274.2189322,145.7076335,128.766012,117.7798893,71.03024527,102.0898502,162.6804014,238.0858402,106.7906504,169.9271312,248.6303007,237.9001108,134.3937938,110.3586002,103.7849806,194.4825798,175.9726131,200.7345498,194.9405756,121.0522085,121.5460898,93.79247726,181.3890537,149.3784211,152.526848,111.4826283,103.9152859,153.7433074,139.2254664,87.90068637,281.7298915,80.81330487,252.1623861,159.8408808,173.795836,81.70525415,0,32.04259873,37.91298092,110.4455364,56.1330142,190.6571034,189.7926661,48.29347803,236.8020181,204.836858,192.860487,86.72340093,143.1101394,274.8257508,186.3478334,232.7230855,217.3208826,163.6461269,50.3596834,59.30282071,191.1255773,216.7485134,99.2895113,171.7831119,84.49188691,354.2051049,115.3033283,136.899063,145.0755218,186.3071378,240.3136733,149.3832677,50.40982898,145.2433872,208.7162614
서울특별시 양천구,32.71877901,18.00821433,126.2347817,147.3981911,165.4397078,293.5810371,91.06659305,283.6249867,271.4487312,197.2449342,50.57349103,128.5157035,175.8016587,257.3072514,104.5327726,135.9981714,291.1211492,249.0370918,256.5794105,287.4717982,285.3779764,211.3542074,161.3114357,66.23499805,231.4875161,342.3640972,86.51505618,243.4019815,167.0688047,277.0285977,258.8928976,40.50600596,47.76183387,162.725805,11.71273955,177.2663607,95.09057694,115.4970044,137.5921925,140.8029254,121.4306973,93.87986522,134.239579,208.9643112,242.8562345,197.4156508,208.6046502,211.8295742,100.9949295,74.65402074,194.7667551,185.4184789,160.6688928,186.6694993,128.6836606,136.7223406,96.25358843,108.5290748,175.3498123,115.3433948,175.8554725,50.53073528,81.59082526,109.1435902,88.45981502,86.57284328,277.6257516,66.93582079,220.262534,61.17728864,242.3443918,118.1440731,48.26383459,58.35951528,15.42416506,219.1527938,69.69182545,132.4146235,210.7506684,92.74070919,146.3407678,204.0541402,299.6419842,69.83738955,203.9391002,77.86003638,210.543559,203.3356545,233.0751954,227.3153818,167.5811122,80.459438,269.9272817,219.3790676,170.0941308,144.2039562,70.77589,268.0980297,86.59947637,225.7883268,248.951353,281.5761467,198.3538938,130.0567751,137.2409088,100.7313626,171.7063744
서울특별시 강서구,29.87590132,73.59503231,100.4252175,40.48022334,161.8993112,291.4102897,89.71175284,251.2496778,95.32263949,300.8498488,68.13157868,129.3942957,204.0541402,282.8186613,72.03503419,87.17966207,245.4764397,304.0182529,318.6962938,207.7579824,282.3104547,70.48021103,148.6320038,124.8034844,150.4352065,315.7790153,49.98544499,272.4583069,178.129955,89.13766059,292.7533341,63.26676561,22.34581175,65.08328174,40.39616856,193.4960978,226.5217962,120.0942515,8.90873469,143.6601096,53.50160706,120.3618324,131.1474838,222.4987734,226.8457567,223.3444316,204.7591891,236.7791234,44.66703051,63.00620573,257.5712883,259.8356915,109.4235955,169.0269173,281.4187679,101.8032046,86.11191356,85.07941196,181.2235844,128.2370399,187.8143646,178.240592,123.8827712,92.80971285,66.40883517,126.5592738,62.8571761,128.9746805,58.13790475,95.75638104,307.6061173,63.52577793,111.1176053,40.15571788,76.51718232,167.007802,123.090622,135.23903,203.7268128,55.44505239,184.9213988,219.3285608,238.4694122,79.57432267,222.7470428,126.5561494,177.9195693,253.8661973,217.4273343,125.568378,233.8118428,104.1788846,223.4893547,186.613083,86.52032272,10.67712648,187.2230049,278.1528961,139.5341493,203.2507675,201.2100299,75.04573535,187.1285704,142.3262494,118.3225257,59.5951136,277.940702
서울특별시 구로구,164.2375064,38.9349989,20.56164018,154.3885905,49.9038553,9.55830028,14.76621049,159.2091206,72.95306806,249.5462563,91.99912694,58.46095964,164.6601027,217.353079,12.88375154,44.18596634,224.1795306,261.4951947,189.5981629,270.4701993,95.42276573,166.7277604,121.5554354,136.3357283,192.5280035,363.6152207,104.6108179,269.5221357,182.9447763,208.8022008,216.5857954,0,54.16974528,122.5582588,168.2604011,84.07609257,214.5388609,74.17424697,31.96115329,79.62204369,238.8613265,66.81720811,145.5689458,222.1203064,184.1324356,111.3098253,239.5540577,170.2336607,0,200.0753425,245.763269,259.9230579,123.3389545,150.6523204,106.8795564,189.6436699,128.0796149,107.7142996,199.9240211,140.3963047,304.3677112,241.4240242,65.47182161,132.603362,138.6392038,77.21451009,62.56787681,223.148753,43.32033028,104.6188352,43.64021849,62.72018581,61.04251021,0,4.765586759,105.5905491,151.6156371,175.4480715,180.400112,130.3461302,199.6201107,243.3193432,257.5594478,107.1777907,223.0776362,34.30450866,278.7011958,229.0041664,205.4921997,195.675296,182.0244187,137.4030447,228.7472036,237.7916977,148.4954181,39.31719931,246.4242325,246.4239633,124.1520937,141.9779809,281.4150476,112.3614711,178.0062051,85.4655482,152.6802475,140.7437484,254.2408647
